,fips,area,population,percent_seniors,percent_poverty,percent_uninsured,income,vent,icu,percent_smoker,percent_inactive,population_density
219,13291,322.0852598,22775,32.05708013,14.0636663,12.25027442,27282,2,5,13.66682293,26.7,70.71109064
220,13293,323.4665548,26216,17.95468416,21.75007629,13.05309735,21015,2,28,18.17284267,31,81.04701896
221,13297,326.7894077,90132,14.99800293,12.75906448,11.08929126,26545,3,7,17.28746189,34.2,275.8106532
222,13299,899.1722879,35599,16.55945392,21.98938172,14.362763,20457,8,10,19.04435871,35.1,39.59085537
223,13303,678.5132153,20461,16.73427496,24.24123943,10.92321978,19579,2,10,20.02729765,29,30.15563962
224,13305,641.9371698,29767,15.04686398,18.04683038,16.52837034,21067,2,12,18.54656549,26,46.37058173
225,13313,290.437377,103849,13.47244557,17.55337076,17.38774567,23271,8,34,17.74828459,31.5,357.5607281
226,13317,469.500576,9884,22.78429786,23.61392149,15.39862404,23198,1,4,19.17724705,30,21.05215735
227,13321,570.7119176,20656,18.12548412,20.58965918,17.46707978,23517,2,4,18.26639967,32.8,36.19339173
228,15001,4028.448448,197658,19.33288812,16.3540054,5.198878872,29253,11,28,14.32765567,21,49.06554038
229,15003,600.5637215,987638,16.85151847,8.440238225,3.395272357,35202,37,155,10.99952128,20.6,1644.51825
230,15007,619.8837977,71377,18.82679294,8.385054009,4.883926195,31674,4,10,12.7378115,19.3,115.1457745
231,15009,1161.529512,165281,16.85614196,9.583678705,5.038086652,33792,5,26,12.34343384,20,142.295997
232,16001,1052.007575,446052,13.47309282,10.75704178,8.14815313,33352,24,97,11.99070066,14.9,424.0007492
233,16005,1112.484763,85065,13.38388291,16.52383471,8.834420737,24555,4,20,14.42402058,20.8,76.46396861
234,16007,975.7273052,5962,20.4797048,16.72257632,6.256289836,24654,1,4,13.16587242,19.8,6.110313782
235,16009,776.9310159,9086,21.86880916,16.43187321,12.62381686,23502,1,3,15.32512536,31,11.69473198
