fips,County_Name,State,Country,Lat,Long_,Combined_Key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,88
1065,Hale,Alabama,US,32.76039,-87.63285,"Hale, Alabama, US",6.71727,6.71727,6.71727,6.71727,20.15181,20.15181,20.15181,26.86908,47.02089,47.02089,47.02089,47.02089,73.88997,100.7591,100.7591,114.1936,120.9109,141.0627,147.7799,154.4972,167.9318,208.2354,228.3872,241.8217,248.539,261.9735,261.9735,275.4081,275.4081,275.4081,288.8426,315.7117,335.8635,349.298,349.298,376.1671,396.3189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Houston,Alabama,US,31.15198,-85.2994,"Houston, Alabama, US",0.958295,0.958295,1.91659,2.874885,2.874885,3.83318,5.74977,8.624655,8.624655,7.66636,8.624655,11.49954,13.41613,14.37443,21.08249,23.95738,23.95738,28.74885,31.62374,35.45692,42.16498,45.03987,49.83134,51.74793,54.62282,61.33088,60.37259,63.24747,67.08065,69.95554,71.87213,74.74701,72.83042,72.83042,73.78872,75.70531,80.49678,83.37167,86.24655,86.24655,89.12144,91.03803,92.95462,93.91291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Jackson,Alabama,US,34.78144,-85.9975,"Jackson, Alabama, US",1.919607,1.919607,1.919607,1.919607,3.839214,3.839214,7.678427,7.678427,9.598034,9.598034,9.598034,15.35685,15.35685,17.27646,23.03528,23.03528,26.8745,32.63332,34.55292,36.47253,42.23135,42.23135,42.23135,46.07056,49.90978,55.6686,59.50781,61.42742,61.42742,72.94506,72.94506,74.86467,78.70388,80.62349,82.5431,86.38231,86.38231,86.38231,86.38231,88.30192,90.22152,94.06074,94.06074,95.98034,95.98034,95.98034,101.7392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Jefferson,Alabama,US,33.55555,-86.89506,"Jefferson, Alabama, US",0.1515399,0.1515399,0.7576997,2.576179,3.182339,3.788499,5.152358,7.576997,9.243937,10.75934,13.03244,13.79014,19.54865,24.09485,26.82257,29.55029,37.12729,38.49115,40.91579,44.24967,47.58354,53.19052,56.5244,63.04062,64.1014,69.25376,72.58764,76.83075,81.22541,87.74163,90.46935,92.74245,93.95477,94.71247,96.07633,98.65251,101.6833,103.3502,104.2595,105.7749,110.018,117.8981,120.7773,120.7773,127.142,127.142,130.4759,133.3552,134.2644,140.7806,143.3568,146.8422,150.3276,154.5707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Lauderdale,Alabama,US,34.90172,-87.65625,"Lauderdale, Alabama, US",1.080089,2.160177,2.160177,3.240266,3.240266,6.480531,9.720797,9.720797,12.96106,12.96106,12.96106,12.96106,12.96106,15.12124,15.12124,17.28142,17.28142,17.28142,19.44159,19.44159,21.60177,21.60177,22.68186,22.68186,23.76195,23.76195,23.76195,23.76195,24.84204,24.84204,24.84204,25.92213,27.00221,27.00221,27.00221,27.00221,27.00221,33.48275,33.48275,32.40266,33.48275,41.04337,54.00443,60.48496,65.8854,68.04558,73.44602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Lawrence,Alabama,US,34.52041,-87.31069,"Lawrence, Alabama, US",9.044044,6.029363,9.044044,9.044044,9.044044,9.044044,9.044044,9.044044,12.05873,12.05873,18.08809,24.11745,24.11745,24.11745,24.11745,24.11745,24.11745,24.11745,24.11745,24.11745,24.11745,24.11745,24.11745,27.13213,27.13213,30.14681,30.14681,36.17618,36.17618,36.17618,36.17618,36.17618,36.17618,36.17618,36.17618,36.17618,39.19086,39.19086,42.20554,42.20554,48.2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Lee,Alabama,US,32.60155,-85.35132,"Lee, Alabama, US",0.6277976,1.883393,5.022381,6.277976,6.905774,7.533571,10.04476,11.92815,16.32274,25.1119,29.50649,30.13429,35.15667,37.04006,44.57363,47.08482,50.85161,57.12958,62.15196,64.03536,68.42994,70.94113,80.3581,92.91405,124.9317,131.2097,136.8599,148.1602,156.9494,166.3664,168.8776,183.3169,188.9671,191.4783,193.3617,195.2451,200.2674,207.801,213.4512,220.357,220.357,229.1461,231.0295,236.6797,242.3299,247.3523,245.4689,249.2357,251.119,253.0024,256.1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Limestone,Alabama,US,34.81186,-86.9831,"Limestone, Alabama, US",1.074668,1.074668,1.074668,1.074668,1.074668,1.074668,1.074668,1.074668,1.074668,1.074668,4.298672,6.448008,13.97068,15.04535,17.19469,17.19469,21.49336,23.64269,24.71736,26.8667,32.24004,33.31471,33.31471,35.46404,34.38937,34.38937,36.53871,38.68805,38.68805,39.76271,39.76271,39.76271,39.76271,40.83738,42.98672,42.98672,42.98672,42.98672,42.98672,41.91205,42.98672,44.06139,44.06139,44.06139,45.13605,47.28539,47.28539,47.28539,47.28539,47.28539,48.36006,50.50939,51.58406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Macon,Alabama,US,32.3876,-85.69268,"Macon, Alabama, US",5.248242,5.248242,5.248242,5.248242,15.74473,26.24121,26.24121,26.24121,26.24121,31.48945,31.48945,47.23418,47.23418,57.73066,73.47539,78.72363,99.71659,99.71659,110.2131,125.9578,125.9578,131.206,136.4543,141.7025,146.9508,141.7025,152.199,152.199,178.4402,178.4402,183.6885,188.9367,194.1849,194.1849,199.4332,209.9297,209.9297,215.1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Madison,Alabama,US,34.76327,-86.5507,"Madison, Alabama, US",0.2796733,0.2796733,0.2796733,1.398367,1.957713,2.51706,4.474773,5.87314,5.87314,9.788567,12.02595,13.14465,17.33975,22.09419,25.45027,27.68766,29.3657,31.88276,33.84047,34.95917,37.47623,39.43394,41.951,42.79002,48.38349,49.78185,52.01924,52.29891,52.29891,53.41761,53.41761,55.37532,60.68912,55.09565,55.65499,56.49401,56.77369,57.33304,57.33304,56.49401,56.49401,59.01108,59.8501,62.08748,62.64683,63.48585,62.9265,65.16389,65.44356,66.28258,66.56226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
